.header.seq,.header.stamp.secs,.header.stamp.nsecs,.transform.translation.x,.transform.translation.y,.transform.translation.z
148513,1682211419,970346266,-0.696613306,5.862594685,0.424278573
148514,1682211419,980896122,-0.697370115,5.862860564,0.427882597
148515,1682211419,991927838,-0.698151224,5.86326736,0.431663182
148516,1682211420,368841,-0.698667555,5.864148609,0.435872089
148517,1682211420,10225254,-0.699426222,5.864434655,0.439375759
148518,1682211420,22261789,-0.699778886,5.864839173,0.443059335
148519,1682211420,31257744,-0.700408861,5.865365816,0.447116268
148520,1682211420,41055602,-0.701051844,5.86580298,0.450890468
148521,1682211420,50960641,-0.70161888,5.866307355,0.45473408
148522,1682211420,62431680,-0.702440106,5.866709226,0.457922648
148523,1682211420,71445959,-0.702543552,5.867291552,0.462088574
148524,1682211420,81474782,-0.703173031,5.86786862,0.465765646
148525,1682211420,91952332,-0.703748845,5.868199034,0.469805797
148526,1682211420,102396627,-0.704177475,5.868596293,0.473846189
148527,1682211420,112606322,-0.704698347,5.868926399,0.477869955
148528,1682211420,122191819,-0.704935708,5.869587133,0.481930232
148529,1682211420,134178592,-0.705309798,5.870209941,0.486097099
148530,1682211420,146126823,-0.705851417,5.870565929,0.489985961
148531,1682211420,152260943,-0.706322797,5.8708404,0.493812181
148532,1682211420,162930127,-0.70679762,5.871459215,0.498101124
148533,1682211420,172806073,-0.707038074,5.871956489,0.502569746
148534,1682211420,184835813,-0.707494967,5.872440375,0.506515713
148535,1682211420,192744025,-0.707729303,5.872790851,0.510252902
148536,1682211420,203547523,-0.70817508,5.873224446,0.514308029
148537,1682211420,212961256,-0.7083547,5.873792694,0.518784224
148538,1682211420,223715672,-0.708746467,5.874188097,0.523146702
148539,1682211420,233817685,-0.709201755,5.874744231,0.527798621
148540,1682211420,242398051,-0.709411682,5.875207571,0.53214065
148541,1682211420,252179323,-0.709872925,5.875734446,0.536478661
148542,1682211420,262377340,-0.710100318,5.87613507,0.541004693
148543,1682211420,272380387,-0.710457188,5.876562829,0.54507823
148544,1682211420,282187553,-0.710745672,5.877161954,0.549604796
148545,1682211420,292483251,-0.710974664,5.877688754,0.554183592
148546,1682211420,303546865,-0.711033467,5.878295469,0.55900061
148547,1682211420,312385086,-0.711446936,5.878540726,0.562913761
148548,1682211420,322392079,-0.711810431,5.879045284,0.567394245
148549,1682211420,332477087,-0.712081598,5.879432489,0.572052167
148550,1682211420,343202446,-0.712176801,5.880001262,0.576861979
148551,1682211420,353153524,-0.712358719,5.880641602,0.581465438
148552,1682211420,362466353,-0.712641858,5.881190305,0.586011617
148553,1682211420,372423780,-0.712894012,5.881634957,0.590697125
148554,1682211420,383217619,-0.712994014,5.88215272,0.595174984
148555,1682211420,395005193,-0.713114486,5.882807643,0.600084229
148556,1682211420,402665125,-0.713271165,5.883185589,0.604968287
148557,1682211420,412364627,-0.713263956,5.883981326,0.609258185
148558,1682211420,423892967,-0.713525236,5.884488636,0.614305154
148559,1682211420,432382667,-0.713545848,5.88510159,0.618807126
148560,1682211420,442529540,-0.713738655,5.885575964,0.623955546
148561,1682211420,452842538,-0.713781387,5.886155297,0.628131309
148562,1682211420,463277217,-0.713885367,5.886734832,0.632779872
148563,1682211420,472659851,-0.71381048,5.887390416,0.637692892
148564,1682211420,482728751,-0.713931111,5.887966848,0.642417496
148565,1682211420,492273198,-0.714074146,5.888606439,0.647399563
148566,1682211420,503687242,-0.713991574,5.889111953,0.65177964
148567,1682211420,511963073,-0.714121979,5.889718593,0.656856763
148568,1682211420,522244202,-0.713977046,5.890295699,0.661255323
148569,1682211420,533204742,-0.713997783,5.890944616,0.666199654
148570,1682211420,542206085,-0.713767796,5.891538902,0.670566626
148571,1682211420,552401202,-0.713841826,5.892163036,0.675662769
148572,1682211420,563468923,-0.713739645,5.892673897,0.680279874
148573,1682211420,572056229,-0.713561118,5.893348561,0.684863535
148574,1682211420,582870488,-0.713535367,5.893857158,0.689708833
148575,1682211420,592425307,-0.71333194,5.894518633,0.694175184
148576,1682211420,602273664,-0.713161732,5.895140249,0.698800938
148577,1682211420,612127260,-0.712984585,5.895848625,0.703703156
148578,1682211420,621974150,-0.712938163,5.89638203,0.708672646
148579,1682211420,631933012,-0.712794105,5.897080629,0.713447444
148580,1682211420,642025977,-0.712588068,5.89771579,0.718240092
148581,1682211420,652137997,-0.712313251,5.898223778,0.722904663
148582,1682211420,662456972,-0.712047101,5.89905699,0.727908505
148583,1682211420,672310882,-0.711776078,5.899628341,0.732962739
148584,1682211420,682809547,-0.711556456,5.900398873,0.737483633
148585,1682211420,692351728,-0.711320972,5.901068178,0.742170341
148586,1682211420,702184758,-0.711069343,5.901766695,0.747055077
148587,1682211420,712143399,-0.710819288,5.902373743,0.751884534
148588,1682211420,722550500,-0.710661559,5.902948659,0.75690618
148589,1682211420,733122663,-0.710266402,5.903739275,0.761580705
148590,1682211420,742452015,-0.710024492,5.904303921,0.766266296
148591,1682211420,752359998,-0.709729562,5.905043913,0.771258038
148592,1682211420,762192993,-0.70956314,5.905534839,0.776093264
148593,1682211420,773683473,-0.709240501,5.906369007,0.780836065
148594,1682211420,784031622,-0.708899073,5.907126071,0.78585693
148595,1682211420,792542015,-0.708377923,5.90781591,0.790312293
148596,1682211420,812487117,-0.707943447,5.909155189,0.799810046
148597,1682211420,832948344,-0.70749798,5.91049359,0.809943583
148598,1682211420,843123541,-0.707169494,5.911237224,0.81498342
148599,1682211420,853720940,-0.706904684,5.911906101,0.819885152
148600,1682211420,865519117,-0.706457335,5.912703448,0.824359324
148601,1682211420,882594729,-0.705874733,5.913811812,0.834198314
148602,1682211420,892306229,-0.705617799,5.914769147,0.839301683
148603,1682211420,903171308,-0.705404394,5.91523735,0.844232187
148604,1682211420,911093674,-0.70503371,5.916094056,0.848958401
148605,1682211420,921812508,-0.704708458,5.916548417,0.853817633
148606,1682211420,932652872,-0.704285164,5.917471588,0.858678079
148607,1682211420,942980628,-0.704072176,5.918069664,0.863332899
148608,1682211420,971624283,-0.70303447,5.920105455,0.878075492
148609,1682211420,982254181,-0.702720293,5.920787239,0.882934182
148610,1682211420,990510853,-0.702390348,5.9214346,0.887651261
